portname,latitude,longitude
Watsi-Genge,-0.9456,20.62966
Charlotte (Skidegate),53.24742,-132.00969
Homer,59.60159,-151.41553
Hartsdale,40.7061,-74.0021
Killingholme,53.64561,-0.21512
Shoreham,50.83232,-0.26934
Southend,51.53415,0.7155
Santa Fe,-31.65014,-60.69712
Punta De Palmas,10.4409,-71.63472
Moin Bay,10.00433,-83.07669
Canaport,45.2085,-65.98286
Winslow,47.62285,-122.51324
West Foreland,60.7133,-151.71198
Redwood City,37.5132,-122.20405
Shawano,29.24043,-89.3605
Mars,29.50305,-91.8058
Sullom Voe,60.45831,-1.29003
Salina,38.5593,14.87226
Eleusis,38.04274,23.51074
Syros (Syra),37.43767,24.94032
Cebu,10.62832,124.40972
Coco Grove Nature Resort,10.61768,124.2838
Pointe Des Galets,-20.93108,55.31133
Sulina (Port Et Zone Franche),45.15849,29.66218
Damman,26.48684,50.19733
Tijuana,32.50821,-117.12305
Jose Ignacio Terminal,-34.84588,-54.63312
Khark Island,29.21619,50.33049
Bandar Mahshahr,30.46914,49.17771
Porto Foxi (Sarroch),39.09045,9.01368
Rharous,16.88259,-1.92331
Ambohitsara,-20.86592,48.46241
Pomala,-4.1828,121.59489
Telok Ayer,-0.76919,109.57272
Lifake,1.06498,22.1408
Escravos,5.61173,5.20625
My Tho,10.34402,106.3285
Yafala,-1.37229,22.11768
Gutthom,6.48444,31.33383
Vum,-3.82254,18.92355
Isokolokoto,0.46143,20.97019
Koko,5.99881,5.45875
Pugwash,45.84869,-63.66423
Liege (Luik),50.65459,5.6324
Naha,26.2447,127.69245
Cossack Pioneer,-20.6756,116.69787
Des Plaines,29.93482,-90.36439
Oakham Ness,51.42122,0.6342
Hunterston,55.74505,-4.86915
Faslane,56.06673,-4.81973
Palma Mallorca,39.56616,2.6445
Moji,33.95201,130.96633
Sendai,38.27451,141.00557
Port Of Aqtau (Aktau),43.60967,51.22023
Bassein,16.78112,94.73082
La Palma,8.40629,-78.14191
Lajes,39.37902,-31.1711
Mesaieed,24.91738,51.56731
Punta Colorada,-41.69762,-65.03439
South Riding Point,26.62642,-78.23165
Woodlands,1.45201,103.77974
Aioi,34.78907,134.46388
Mukho,37.55231,129.11646
Arman,59.54024,150.77662
Tuxpan,20.94442,-97.39383
Puerto Miranda / Maracaibo L.,10.76144,-71.5519
La Salina / Maracaibo L,10.37679,-71.4548
Moulmein,16.49322,97.6175
Sidi Kerir,31.05359,29.67018
Stignaesvaerkets Havn,55.20852,11.25443
Inkoo,60.04148,24.00623
Crooked Island,22.75116,-74.18962
Barahona,18.21611,-71.08721
Bandar Abbas,27.14681,56.20611
Forno,-22.96957,-42.01826
Kalecik,35.32798,33.99319
El Iskandariya,31.16936,29.86204
Ras Shukheir,28.13602,33.27519
Lingah,26.55452,54.89053
Basrah,30.51164,47.84923
Hibiki,33.93027,130.77865
Yawata,33.88705,130.78127
Juaymah Terminal,26.79268,50.01443
Tembladora,10.67923,-61.56864
Haydarpasa,41.00242,29.01452
Foca,38.66761,26.7521
St Thomas Island,18.33887,-64.93865
Barcadera,12.48094,-69.99846
Bullen Bay,12.19427,-69.0259
Zayed,24.51602,54.37681
Barbuda,17.64144,-61.82788
Jiangyin,31.92039,120.17442
Sittwe,20.14001,92.90128
Pointe A La Hache,29.57611,-89.79325
Port Of Semey,50.43993,80.20868
Antwerp,51.24332,4.4174
Navarino,36.91472,21.69516
Port Of Atyrau,47.07208,51.86886
Malingu,-5.87762,16.58492
Bolafa,1.53925,22.1123
Malta (Valetta),35.89425,14.51314
N'Gi,-4.41232,17.15382
Za'Farana,29.11107,32.66471
Saleologa,-13.74475,-172.21695
Lilo,-0.61864,25.4275
Bangu,-0.24726,19.18075
Aola Bay,-9.53525,160.49173
Walton,45.23111,-64.00853
Northville (Riverhead),40.91828,-72.65551
Felton,20.72725,-75.6073
Tanamo,20.67864,-75.33573
Fraser Mills,49.19981,-122.91238
Berville,49.43485,0.3606
Bagotville,48.34383,-70.87961
Norsworthy,29.74113,-95.1928
Hamaroy,68.08477,15.63392
Melilli,37.10968,15.25179
Studstrupvaerkets Havn,56.24891,10.34783
Bugo,8.50849,124.75312
Nowy Port,54.40853,18.65782
Thira,36.3861,25.43119
Mutsuogawara,40.96875,141.38524
Ras Laffan,25.91414,51.59255
Shortland Harbour,-7.08892,155.86379
Hera fishing port,-8.53445,125.68134
Thi Nai,13.7813,109.22867
Ras Zubbaya,24.32187,54.133
New Holland,53.70469,-0.36337
Djerba,33.88626,10.85775
Talca,-36.7283,-73.10178
Kuantan,3.97809,103.42386
Kerteh Terminal,4.58999,103.45553
Mokpo,34.78086,126.38245
Port Kelang,3.02802,101.36368
Guaranao Bay,11.66943,-70.21381
Henjam,26.68227,55.89432
Okayama,34.604,133.9644
Tianjinxingang,39.08764,117.23743
Fao,29.97458,48.483
Acapulco,16.84868,-99.90401
Banten,-6.01375,105.95816
Ain Sukhna,29.6541,32.34742
Rothesay,55.83818,-5.05427
Port Huron,42.9712,-82.42034
Patterson,48.12044,-123.43221
Stanlow,53.28606,-2.83623
Porvoo,60.38291,25.67178
Misumi,32.60706,130.47129
Oshima,34.74983,139.3575
Nagoya,35.07877,136.86533
Dhuba,26.25249,36.44388
La Pampilla,-11.95655,-77.13473
Providenciales,21.81422,-72.14035
Trinidad,10.65208,-61.51813
Tutunciftlik,40.74509,29.77666
Gokova,37.05086,28.3247
Gulluk,37.22763,27.58976
Haimen,31.79178,121.09082
Chennai,13.08638,80.29179
,-6.1084,17.45106
Ama,29.93935,-90.31018
Port Of Pavlodar,52.26504,76.9375
Montoir,47.30823,-2.06356
Kingushi Aval,-4.99577,16.5421
Sevilla (Seville),37.35761,-5.99628
Kikundi,-4.67662,18.73045
Bremerton,47.55647,-122.64346
Hongai,20.9484,107.08111
Wamba,-1.56329,22.39548
Malela,-0.27757,20.4595
Lachine,45.43195,-73.67093
Trois-Rivieres (Three Rivers),46.33498,-72.5441
Naryan Mar,67.64154,52.97819
Cape Race,46.65998,-53.07504
Lindesnes,58.02451,7.10958
Sortland,68.69851,15.41978
Eemshaven,53.45567,6.81309
Ras Budran,28.94412,33.17307
Kashima,35.92849,140.68824
Mtwapa,-3.95237,39.74008
Sour,33.27516,35.19441
Ruse,43.84213,25.93863
Ringi Cove,-8.12095,157.11375
Allardyce Harbour,-7.77671,158.65405
Porto Alexandre,-15.80344,11.82692
Malongo,-5.39638,12.19824
Vita,21.07662,-75.95281
Xingang,38.99875,117.75317
Marans,46.31292,-0.99903
Higashi-Harima,34.7047,134.85507
Labuan,5.27616,115.24334
Butzfleth,53.65256,9.50928
Brevik,59.05398,9.69912
Coloncha,9.22313,-71.80326
El Tablazo / Maracaibo L,10.75933,-71.53717
Balogo,13.75936,121.04326
Pyongtaek,36.95051,126.85044
Cumarebo,11.48839,-69.35587
Las Piedras,11.71858,-70.22181
Patillos,-20.7488,-70.19537
Map Ta Phut,12.66904,101.15214
Wemyss Bay,55.87592,-4.88938
Clydeport,55.86947,-4.35129
Barrow Island,-20.78873,115.46166
Moskenes,67.90357,13.04609
Ramfjordnes,69.50986,19.00223
